Date,Close
2021-01-04,83000
2021-01-05,83900
2021-01-06,82200
2021-01-07,82900
2021-01-08,88800
2021-01-11,91000
2021-01-12,90600
2021-01-13,89700
2021-01-14,89700
2021-01-15,88000
2021-01-18,85000
2021-01-19,87000
2021-01-20,87200
2021-01-21,88100
2021-01-22,86800
2021-01-25,89400
2021-01-26,86700
2021-01-27,85600
2021-01-28,83700
2021-01-29,82000
2021-02-01,83000
2021-02-02,84400
2021-02-03,84600
2021-02-04,82500
2021-02-05,83500
2021-02-08,83000
2021-02-09,82700
2021-02-10,81600
2021-02-15,84200
2021-02-16,84900
2021-02-17,83200
2021-02-18,82100
2021-02-19,82600
2021-02-22,82200
2021-02-23,82000
2021-02-24,82000
2021-02-25,85300
2021-02-26,82500
2021-03-02,83600
2021-03-03,84000
2021-03-04,82400
2021-03-05,82100
2021-03-08,82000
2021-03-09,81400
2021-03-10,80900
2021-03-11,82000
2021-03-12,82800
2021-03-15,81800
2021-03-16,82800
2021-03-17,82300
2021-03-18,82900
2021-03-19,81900
2021-03-22,82000
2021-03-23,81800
2021-03-24,81000
2021-03-25,81200
2021-03-26,81500
2021-03-29,81600
2021-03-30,82200
2021-03-31,81400
2021-04-01,82900
2021-04-02,84800
2021-04-05,85400
2021-04-06,86000
2021-04-07,85600
2021-04-08,84700
2021-04-09,83600
2021-04-12,83200
2021-04-13,84000
2021-04-14,84000
2021-04-15,84100
2021-04-16,83900
2021-04-19,83300
2021-04-20,83900
2021-04-21,82600
2021-04-22,82400
2021-04-23,82800
2021-04-26,83500
2021-04-27,82900
2021-04-28,82100
2021-04-29,81700
2021-04-30,81500
2021-05-03,81700
2021-05-04,82600
2021-05-06,82300
2021-05-07,81900
2021-05-10,83200
2021-05-11,81200
2021-05-12,80000
2021-05-13,78500
2021-05-14,80100
2021-05-17,79600
2021-05-18,79600
2021-05-20,79500
2021-05-21,80100
2021-05-24,79700
2021-05-25,79900
2021-05-26,79800
2021-05-27,79600
2021-05-28,80100
2021-05-31,80500
2021-06-01,80600
2021-06-02,80800
2021-06-03,82800
2021-06-04,82200
2021-06-07,81900
2021-06-08,81900
2021-06-09,81100
2021-06-10,81000
2021-06-11,81000
2021-06-14,80500
2021-06-15,80900
2021-06-16,81800
2021-06-17,80900
2021-06-18,80500
2021-06-21,79900
2021-06-22,80000
2021-06-23,80100
2021-06-24,81200
2021-06-25,81600
2021-06-28,81900
2021-06-29,81000
2021-06-30,80700
2021-07-01,80100
2021-07-02,80000
2021-07-05,80400
2021-07-06,81200
2021-07-07,80800
2021-07-08,79900
2021-07-09,79400
2021-07-12,79700
2021-07-13,79800
2021-07-14,79500
2021-07-15,80600
2021-07-16,79800
2021-07-19,79000
2021-07-20,79000
2021-07-21,78500
2021-07-22,79700
2021-07-23,79300
2021-07-26,78800
2021-07-27,78500
2021-07-28,79200
2021-07-29,79000
2021-07-30,78500
2021-08-02,79300
2021-08-03,81400
2021-08-04,82900
2021-08-05,82100
2021-08-06,81500
2021-08-09,81500
2021-08-10,80200
2021-08-11,78500
2021-08-12,77000
2021-08-13,74400
2021-08-17,74200
2021-08-18,73900
2021-08-19,73100
2021-08-20,72700
2021-08-23,73300
2021-08-24,75600
2021-08-25,75700
2021-08-26,74600
2021-08-27,74300
2021-08-30,74600
2021-08-31,76700
2021-09-01,76800
2021-09-02,76000
2021-09-03,76600
2021-09-06,77300
2021-09-07,76100
2021-09-08,76300
2021-09-09,75300
2021-09-10,75300
2021-09-13,76300
2021-09-14,76600
2021-09-15,77000
2021-09-16,76100
